insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 342, 69980);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 415, 32089);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 131, 40931);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 250, 30046);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 26, 111799);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 10, 66593);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 161, 116280);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 213, 140063);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 466, 132014);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 276, 78708);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 463, 105814);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 133, 43186);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 348, 123129);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 406, 13965);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 163, 81364);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 396, 7550);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 365, 26275);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 76, 141273);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 465, 79216);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 104, 54671);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 258, 107077);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 278, 134596);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 78, 25587);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 72, 18448);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 334, 106039);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 467, 87148);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 267, 77145);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 344, 143409);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 199, 147602);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 25, 92104);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 333, 112945);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 22, 32399);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 371, 147970);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 80, 119404);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 123, 56066);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 103, 92365);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 283, 147963);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 426, 33015);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 408, 119247);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 78, 63896);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 39, 132948);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 445, 130093);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 37, 79217);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 50, 87429);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 460, 115646);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 326, 111971);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 341, 102501);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 25, 49099);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 66, 76353);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 6, 42442);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 381, 67201);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 343, 53338);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 13, 10590);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 63, 57493);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 161, 52868);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 414, 79813);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 483, 56023);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 423, 61310);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 483, 37456);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 57, 3773);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 363, 4243);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 372, 90601);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 217, 22247);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 51, 40583);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 299, 119276);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 319, 100805);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 331, 81556);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 149, 15160);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 262, 116244);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 296, 99977);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 242, 89551);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 200, 69284);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 309, 107805);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 163, 75804);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 278, 132384);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 253, 13145);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 145, 56808);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 22, 2640);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 200, 131897);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 444, 146843);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 48, 23282);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 441, 131446);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 263, 44658);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 419, 113550);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 286, 78867);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 62, 52654);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 311, 74873);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 367, 12766);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 243, 26391);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 223, 143990);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 374, 119669);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 444, 23024);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 35, 58010);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 211, 96108);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 458, 35202);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 233, 88387);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 82, 99909);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 390, 9201);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 56, 132058);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 203, 49131);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 136, 111625);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 66, 54382);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 312, 42280);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 78, 44264);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 214, 135491);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 456, 84412);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 288, 76365);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 451, 84757);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 157, 69065);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 472, 104099);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 450, 71725);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 489, 149270);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 147, 18842);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 427, 44580);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 495, 48751);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 288, 119128);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 101, 129073);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 221, 115481);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 292, 22768);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 271, 10345);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 388, 89239);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 313, 144944);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 470, 145733);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 179, 52016);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 409, 96926);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 434, 34114);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 253, 63096);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 300, 145285);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 403, 15305);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 41, 134775);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 107, 133385);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 296, 25737);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 428, 47086);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 406, 45189);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 366, 93349);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 424, 133423);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 74, 82101);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 168, 135752);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 406, 62914);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 111, 72057);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 269, 126859);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 56, 19871);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 74, 55347);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 442, 39455);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 149, 48277);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 450, 42728);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 466, 113405);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 168, 38737);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 124, 128215);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 242, 120104);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 311, 49195);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 195, 59540);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 41, 124096);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 482, 8063);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 34, 34429);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 137, 99998);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 283, 29530);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 305, 55164);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 228, 38874);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 414, 53363);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 356, 14726);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 457, 115850);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 362, 21317);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 104, 68586);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 60, 57783);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 123, 70066);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 364, 37964);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 136, 97329);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 98, 58249);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 89, 90781);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 308, 139706);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 115, 114030);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 176, 122873);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 486, 18998);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 373, 123304);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 238, 112761);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 286, 76038);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 138, 138820);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 222, 140855);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 173, 127825);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 140, 77326);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 412, 79489);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 442, 101259);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 116, 68647);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 124, 85306);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 285, 43076);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 474, 36487);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 286, 79604);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 409, 60936);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 286, 44386);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 444, 16269);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 342, 120988);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 500, 137627);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 361, 120005);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 382, 48749);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 378, 144413);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 278, 111766);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 285, 86571);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 168, 24155);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 195, 21671);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 36, 80273);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 220, 62258);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 367, 20656);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 485, 21779);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 293, 88948);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 417, 142011);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 353, 1807);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 11, 42775);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 294, 109800);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 488, 48676);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 92, 14954);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 243, 28996);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 29, 129418);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 438, 83627);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 274, 46793);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 118, 121030);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 40, 46028);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 372, 136117);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 376, 142349);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 36, 149412);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 112, 132179);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 126, 82491);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 371, 74004);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 362, 100600);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 406, 128794);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 28, 116449);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 68, 80448);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 231, 119510);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 254, 96668);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 439, 111873);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 273, 25652);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 170, 102469);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 317, 71514);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 101, 138674);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 224, 3168);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 1, 104237);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 366, 96131);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 400, 18715);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 425, 123808);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 85, 105838);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 454, 34394);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 323, 6808);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 192, 31841);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 282, 132736);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 3, 16202);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 419, 141170);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 183, 7589);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 434, 40004);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 298, 59856);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (15, 500, 135652);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 180, 117486);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 458, 52844);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 282, 29788);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 315, 16641);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 87, 73028);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 452, 76944);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (1, 7, 16550);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 301, 69874);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 119, 146573);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (9, 361, 149031);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 31, 42887);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (6, 145, 18099);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 440, 106165);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 391, 12856);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 249, 7628);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 288, 69144);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 171, 70063);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 417, 134987);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (7, 438, 146924);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 66, 53166);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 282, 141623);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (11, 387, 33465);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (2, 456, 96493);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 14, 14976);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 311, 126465);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (4, 324, 112639);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (12, 227, 97220);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 121, 31644);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 248, 43125);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (14, 344, 73866);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 318, 98479);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (10, 328, 31483);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (8, 394, 18557);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 347, 63937);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 421, 21658);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (5, 206, 63265);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (13, 137, 71880);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (16, 214, 67024);
insert into дополнительные_документы (ид_достижения, ид_вуза, ид_абитуриента) values (3, 23, 47652);
