insert into вуз (полное_название, аббревиатура, адрес) values ('Академия Абрикосов ', 'АА', 'Воронеж, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Нервов ', 'ИН', 'Бартошице, ул. Штормовой, 3351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Нервов ', 'ИН', 'Красные Четаи, ул. Неукоснительный, 2811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Нервов ', 'ИН', 'Оффутт база ВВС, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Оладий', 'ИО', 'Иватсуки, ул. Махровый, 1061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Песен', 'ИП', 'Форест-Акрес, ул. Безбрежный, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Печений ', 'ИП', 'Ворчестер, ул. Немалый, 3771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Печений ', 'ИП', 'Стоттвилл, ул. Прожженный, 451');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Простофиль', 'ИП', 'Вршац, ул. Подлинный, 4621');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Простофиль', 'ИП', 'Хельсинки, ул. Неистовый, 3771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Рельс  ', 'ИР', 'Бренхам, ул. Варварский, 1421');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Рельс  ', 'ИР', 'Излучинск, ул. Фантастический, 1831');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Рикш', 'ИР', 'Косцержина, ул. Необузданный, 2681');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Рикш', 'ИР', 'Сентерич, ул. Высокий, 3751');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Сабель', 'ИС', 'Касстаун, ул. Глухой, 661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Сапёров ', 'ИС', 'Резина, ул. Мощный, 1181');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Святынь ', 'ИС', 'Кирьят-Бялик, ул. Уважительный, 4401');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Слесаря', 'ИС', 'Песчанка, ул. Сплошной, 2791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Существительных', 'ИС', 'Аманбаево, ул. Глубочайший, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Таможнен ', 'ИТ', 'Клецк, ул. Райский, 771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Таможнен ', 'ИТ', 'Крисфилд, ул. Бесценный, 61');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Таможнен ', 'ИТ', 'Раяпалаииам, ул. Отборный, 3271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Томатов ', 'ИТ', 'Олбани, ул. Впечатляющий, 3541');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Туфель ', 'ИТ', 'Яранск, ул. Непримиримый, 1741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Училиищ', 'ИУ', 'Браунс-Виллидж, ул. Закоренелый, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Училиищ', 'ИУ', 'Любон, ул. Щемящий, 41');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Училиищ', 'ИУ', 'Нестеров, ул. Гигантский, 4051');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Хорватов ', 'ИХ', 'Немиров, ул. Мертвый, 3741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Хором', 'ИХ', 'Домбай, ул. Безграничный, 21');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Хором', 'ИХ', 'Утсуномииа, ул. Громадный, 1831');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Цапель', 'ИЦ', 'Сант-Клэр-Шорес, ул. Преступный, 1271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Цапель', 'ИЦ', 'Шарлотт, ул. Наглый, 3981');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Центнеров ', 'ИЦ', 'Маньчжурия, ул. Невыразимый, 3521');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Центнеров ', 'ИЦ', 'Хаскелл, ул. Необыкновенный, 731');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Цыган ', 'ИЦ', 'Увайима, ул. Внушительный, 2021');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Читален ', 'ИЧ', 'Луговое, ул. Каменный, 341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Читален ', 'ИЧ', 'Покахонтас, ул. Подчеркнутый, 3871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Читален ', 'ИЧ', 'Уайт-Рок, ул. Предельный, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Чукчей', 'ИЧ', 'Мурмаши, ул. Добрый, 2151');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Чукчей', 'ИЧ', 'Тимберлак, ул. Широкомасштабный, 871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Чукчей', 'ИЧ', 'Щецин, ул. Слепой, 4991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Чулок', 'ИЧ', 'Тамворт, ул. Трескучий, 831');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шахмаат ', 'ИШ', 'Кротошин, ул. Откровенный, 1571');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шахмаат ', 'ИШ', 'Паркланд, ул. Безусловный, 2221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шестерён ', 'ИШ', 'Булаево, ул. Сатанинский, 2031');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шестерён ', 'ИШ', 'Кампала, ул. Всемерный, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шорт ', 'ИШ', 'Боде, ул. Великий, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шорт ', 'ИШ', 'Ершовка, ул. Мировой, 4611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шорт ', 'ИШ', 'Олбани (Рэй Кантри), ул. Безропотный, 2581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шпор ', 'ИШ', 'Алькмаар, ул. Блестящий, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шпор ', 'ИШ', 'Грачевка, ул. Молниеносный, 1811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шпрот', 'ИШ', 'Костюковичи, ул. Беспардонный, 4131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Шпрот', 'ИШ', 'Левокумское, ул. Широкомасштабный, 871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Электронов ', 'ИЭ', 'Зверево, ул. Наглый, 3981');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Электронов ', 'ИЭ', 'Комби-Сеттлмент, ул. Железный, 1441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Эллинов ', 'ИЭ', 'Сомервилл, ул. Щедрый, 361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Эполет ', 'ИЭ', 'Колтон, ул. Живой, 2261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Эполет ', 'ИЭ', 'Янтиково, ул. Шумный, 4851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Яслей', 'ИЯ', 'Калва, ул. Непередаваемый, 4781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Институт Яслей', 'ИЯ', 'Флашинг, ул. Неукоснительный, 2811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Акров ', 'УА', 'Белз, ул. Кромешный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Акров ', 'УА', 'Бридлингтон, ул. Полный, 4441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Акров ', 'УА', 'Ла-Крескента, ул. Чрезвычайный, 4841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ананасов ', 'УА', 'Вест-Юниверсити-Плэйс, ул. Невыразимый, 3521');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ананасов ', 'УА', 'Лансдаун, ул. Полный, 4441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ананасов ', 'УА', 'Маунт-Гамбир, ул. Ослепительный, 1471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ананасов ', 'УА', 'Франкфорт, ул. Галопирующий, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Антресолей ', 'УА', 'Изобильный, ул. Безысходный, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Антресолей ', 'УА', 'Итонтаун, ул. Немилосердный, 4591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Антресолей ', 'УА', 'Норильск, ул. Злостный, 2591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Анчоусов ', 'УА', 'Даито, ул. Солидный, 321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Анчоусов ', 'УА', 'Дартмут, ул. Немой, 3131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Апельсинов', 'УА', 'Мозырь, ул. Площадной, 2481');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Апельсинов', 'УА', 'Урюпинск, ул. Безапелляционный, 1651');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Аэросаней', 'УА', 'Белокуракино, ул. Фундаментальный, 4811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Аэросаней', 'УА', 'Ингленд, ул. Невообразимый, 1841');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Аэросаней', 'УА', 'Нанчанг, ул. Беспросыпный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Аэросаней', 'УА', 'Темп, ул. Стоический, 51');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Баклажанов', 'УБ', 'Мадисон-Хейтс, ул. Разящий, 2531');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Баклажанов', 'УБ', 'Светлый Яр, ул. Беспощадный, 921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Баклажанов', 'УБ', 'Татарбунары, ул. Райский, 771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бананов', 'УБ', 'Вест-Карсон, ул. Нещадный, 191');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Барж ', 'УБ', 'Вашингтон, ул. Неоценимый, 2961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Барж ', 'УБ', 'Эль-Сегундо, ул. Густой, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Аршань, ул. Круглый, 3851');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Бекабад, ул. Зеленый, 4411');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Дхулиа, ул. Оглушительный, 961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Ирбит, ул. Оглушительный, 961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Овербрук, ул. Исключительный, 2901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Уайт-Плайнс, ул. Маститый, 341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Башен ', 'УБ', 'Эмпориа, ул. Выдающийся, 4871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бит', 'УБ', 'Блэйдс, ул. Безустанный, 1331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бит', 'УБ', 'Коквитлам, ул. Нарочитый, 2291');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бит', 'УБ', 'Фридрихсхафен, ул. Махровый, 1061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бланков', 'УБ', 'Зейст, ул. Исступленный, 541');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бланков', 'УБ', 'Локхарт, ул. Серьезный, 2191');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бон', 'УБ', 'Беслан, ул. Исполинский, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бот', 'УБ', 'Артемовский, ул. Разгромный, 3651');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бот', 'УБ', 'Магадан, ул. Непреоборимый, 71');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бот', 'УБ', 'Угловское, ул. Леденящий, 4921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Боярышень ', 'УБ', 'Апостолово, ул. Каменный, 341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Браслов', 'УБ', 'Парис, ул. Великий, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Брелок', 'УБ', 'Нова-Руда, ул. Жгучий, 1081');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бронхи', 'УБ', 'Чиллум, ул. Мертвый, 3741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Брызг', 'УБ', 'Хохенвалд, ул. Неодолимый, 361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Брюк', 'УБ', 'Волфенбуттель, ул. Непроглядный, 2301');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бубен', 'УБ', 'Валле-Хермосо, ул. Невыносимый, 3231');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бубен', 'УБ', 'Левистаун, ул. Неутомимый, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Буден ', 'УБ', 'Бендиго, ул. Предельный, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бурь', 'УБ', 'Нячанг, ул. Титанический, 2801');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бурь', 'УБ', 'Херез-де-Гарсиа-Салинас, ул. Титанический, 2801');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бурят', 'УБ', 'Бердюжье, ул. Солидный, 321');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бурят', 'УБ', 'Латроб, ул. Недопустимый, 4131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бутс', 'УБ', 'Колониал-Хейтс, ул. Безбрежный, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Бутс', 'УБ', 'Прескот, ул. Существенный, 3391');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вандалов ', 'УВ', 'Мидоубрук-Террас, ул. Радикальный, 4361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вандалов ', 'УВ', 'Радфорд, ул. Изумительный, 431');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ватт', 'УВ', 'Андропов, ул. Первый, 1461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ватт', 'УВ', 'Вашингтон, ул. Бурный, 171');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ватт', 'УВ', 'Вонжу, ул. Неограниченный, 4111');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ватт', 'УВ', 'Элблаг, ул. Дотошный, 371');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Ведомостей', 'УВ', 'Бытков, ул. Необыкновенный, 731');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Верховьев ', 'УВ', 'Звенигород, ул. Безысходный, 1991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вольт ', 'УВ', 'Брандон, ул. Мертвецкий, 1361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вольт ', 'УВ', 'Зарубино, ул. Жесточайший, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вольт ', 'УВ', 'Од-а Шарон, ул. Завзятый, 4761');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вольт ', 'УВ', 'Фредерик, ул. Несмываемый, 3921');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Вольт ', 'УВ', 'Шав, ул. Горячий, 4431');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выжимок ', 'УВ', 'Баладона, ул. Стопроцентный, 2781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выжимок ', 'УВ', 'Ефимовский, ул. Изрядный, 3901');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выжимок ', 'УВ', 'Луимнич, ул. Жаркий, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выжимок ', 'УВ', 'Новокуйбышевск, ул. Дивный, 3611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Индерборский, ул. Невосполнимый, 471');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Каланчак, ул. Звериный, 4971');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Малояз, ул. Нарочитый, 2291');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Мораин, ул. Олимпийский, 1071');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Нехаевский, ул. Обильный, 611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Выселков', 'УВ', 'Староминская, ул. Страшный, 3611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Габаритов ', 'УГ', 'Альметьевск, ул. Бездушный, 121');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Галош ', 'УГ', 'Большое Сорокино, ул. Беспросыпный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Галош ', 'УГ', 'Оломоук, ул. Небывалый, 4461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Галош ', 'УГ', 'Цеховице-Дзедзице, ул. Неиссякаемый, 1301');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гантелей ', 'УГ', 'Тарко, ул. Активный, 1601');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гардемарин ', 'УГ', 'Псков, ул. Идеальный, 4861');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Герц ', 'УГ', 'Йоно, ул. Возмутительный, 2131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гетр ', 'УГ', 'Адамовка, ул. Стопроцентный, 2781');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гетр ', 'УГ', 'Салават, ул. Варварский, 1421');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гетр ', 'УГ', 'Сарасота-Спрингс, ул. Крепкий, 1741');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гетр ', 'УГ', 'Хилок, ул. Завзятый, 4761');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гнездовий', 'УГ', 'Дубна, ул. Глубокий, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гнездовий', 'УГ', 'Заславль, ул. Страстный, 1261');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гнездовий', 'УГ', 'Савара, ул. Ужасный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гнездовий', 'УГ', 'Сколе, ул. Дотошный, 371');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гнездовий', 'УГ', 'Эпиналь, ул. Безапелляционный, 1651');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Грамм', 'УГ', 'Галвестон, ул. Замечательно, 2031');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Грамм', 'УГ', 'Катандува, ул. Заядлый, 4251');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гранаты', 'УГ', 'Большая Берестовица, ул. Арктический, 1501');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гранаты', 'УГ', 'Норт-Форт-Майерс, ул. Немилосердный, 4591');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гранаты', 'УГ', 'Формби, ул. Яростный, 381');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гранаты', 'УГ', 'Хуимангуилло, ул. Штормовой, 3351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гренок ', 'УГ', 'Гоулбурн, ул. Непробиваемый, 2871');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гренок ', 'УГ', 'Каменск-Шахтинский, ул. Бесконечный, 1201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гренок ', 'УГ', 'Маньчжурия, ул. Вопиющий, 4611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Груш ', 'УГ', 'Заринск, ул. Отборный, 3271');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гусар', 'УГ', 'Байкальск, ул. Основательный, 411');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гусар', 'УГ', 'Виллахермоса, ул. Жесточайший, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Гусар', 'УГ', 'Индаур, ул. Высокий, 3751');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Директора', 'УД', 'Тонкино, ул. Беспрецедентный, 2401');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Дядей', 'УД', 'Томск, ул. Неимоверный, 1341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Захолустий ', 'УЗ', 'Ньютаунабби, ул. Неутолимый, 1811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Захолустий ', 'УЗ', 'Стейт-Колледж, ул. Бесценный, 61');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Зеллий ', 'УЗ', 'Болохово, ул. Гигантский, 4051');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Зеллий ', 'УЗ', 'Матсумото, ул. Серьезный, 2191');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Изотопов', 'УИ', 'Карели, ул. Истинный, 2021');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Каникул', 'УК', 'Глендал, ул. Неисчерпаемый, 4061');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Каникул', 'УК', 'Кобра, ул. Кровный, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Каникул', 'УК', 'Леди-Лейк, ул. Предельный, 1661');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Каникул', 'УК', 'Свиштов, ул. Нешуточный, 2011');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Карт', 'УК', 'Шостка, ул. Неоспоримый, 731');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Координат', 'УК', 'Довер, ул. Великий, 1791');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Кулон', 'УК', 'Шумен, ул. Фанатический, 3991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Лыж ', 'УЛ', 'Комптон, ул. Ядреный, 3441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Миль ', 'УМ', 'Белведер Парк, ул. Смертный, 3201');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Миль ', 'УМ', 'Нарашино, ул. Безустанный, 1331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нюнь ', 'УН', 'Джиргатель, ул. Небывалый, 4461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нюнь ', 'УН', 'Джонсон-Сити, ул. Ослиный, 4331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нюнь ', 'УН', 'Миддлсбро, ул. Гибельный, 1581');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нюнь ', 'УН', 'Радищево, ул. Тяжелый, 4141');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нянь', 'УН', 'Ловеч, ул. Беспробудный, 2361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Нянь', 'УН', 'Сарасота, ул. Звериный, 4971');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Оладий', 'УО', 'Дир-Парк, ул. Неистощимый, 3911');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Оладий', 'УО', 'Лас-Анимас, ул. Небывалый, 4461');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Оладий', 'УО', 'Хуст, ул. Триумфальный, 4771');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Песен', 'УП', 'Мехельта, ул. Непролазный, 2151');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Печений ', 'УП', 'Эскалон, ул. Надежный, 2411');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Подземелий ', 'УП', 'Жодино, ул. Открытый, 2481');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Простофиль', 'УП', 'Дурбе, ул. Несусветный, 4961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Простофиль', 'УП', 'Кочубеевское, ул. Беспардонный, 4131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Простофиль', 'УП', 'Ревда, ул. Недосягаемый, 1731');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Рельс  ', 'УР', 'Читтур, ул. Ослиный, 4331');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Рикш', 'УР', 'Парамарибо, ул. Зверский, 1391');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Рикш', 'УР', 'Пардубице, ул. Кардинальный, 3811');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Сабель', 'УС', 'Комптон, ул. Неумеренный, 3491');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Сабель', 'УС', 'Манхаттан, ул. Неимоверный, 1341');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Сапёров ', 'УС', 'Простеёв, ул. Обложной, 1491');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Сапёров ', 'УС', 'Талдом, ул. Глубокий, 1611');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Свеч ', 'УС', 'Лопатино, ул. Первоклассный, 211');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Свеч ', 'УС', 'Нагпур, ул. Дьявольский, 1361');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Свеч ', 'УС', 'Никольск, ул. Абсолютный, 1131');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Свеч ', 'УС', 'Саутгейт, ул. Несказанный, 2351');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Святынь ', 'УС', 'Белен, ул. Безжалостный, 441');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Святынь ', 'УС', 'Эуген, ул. Арктический, 1501');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Слесаря', 'УС', 'Брисбен, ул. Наглый, 3981');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Существительных', 'УС', 'Гдов, ул. Оглушительный, 961');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Существительных', 'УС', 'Репентигни, ул. Фантастический, 1831');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Таможнен ', 'УТ', 'Ольга, ул. Ужасный, 1221');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Таможнен ', 'УТ', 'Рейтон, ул. Активный, 1601');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Томатов ', 'УТ', 'Аттлеборо, ул. Невиданный, 1381');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Томатов ', 'УТ', 'Выгода, ул. Повальный, 2991');
insert into вуз (полное_название, аббревиатура, адрес) values ('Университет Томатов ', 'УТ', 'Давангер, ул. Шквальный, 721');
