insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (21, 375, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (629, 138, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (393, 250, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (661, 491, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (100, 244, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (713, 397, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (496, 74, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (605, 101, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (245, 102, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (599, 385, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (387, 332, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (620, 286, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (743, 238, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (779, 119, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (569, 186, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (742, 206, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (388, 437, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (597, 470, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (326, 253, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (753, 208, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (106, 357, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (372, 294, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (447, 151, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (217, 34, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (96, 86, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (245, 336, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (199, 342, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (591, 323, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (791, 467, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (385, 224, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (156, 442, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (150, 429, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (186, 414, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (96, 247, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (401, 293, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (72, 261, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (735, 349, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (15, 436, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (712, 189, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (725, 309, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (440, 257, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (776, 225, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (140, 125, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (787, 200, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (360, 227, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (582, 265, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (759, 130, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (482, 256, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (196, 278, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (458, 207, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (272, 142, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (198, 36, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (464, 255, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (252, 232, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (655, 407, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (556, 449, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (46, 311, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (727, 314, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (472, 122, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (389, 92, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (442, 302, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (180, 399, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (202, 93, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (296, 344, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (373, 121, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (179, 318, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (76, 304, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (163, 202, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (108, 493, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (319, 227, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (180, 187, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (275, 398, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (255, 433, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (107, 106, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (454, 158, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (660, 465, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (487, 153, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (319, 272, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (569, 211, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (202, 419, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (386, 315, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (311, 134, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (436, 416, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (275, 324, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (157, 423, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (256, 490, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (245, 408, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (689, 18, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (318, 143, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (4, 431, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (297, 1, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (494, 279, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (626, 213, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (488, 114, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (223, 354, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (74, 83, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (747, 55, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (729, 497, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (570, 273, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (213, 387, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (218, 388, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (674, 186, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (586, 261, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (251, 7, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (673, 83, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (655, 258, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (515, 413, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (729, 23, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (112, 493, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (213, 216, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (323, 244, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (86, 140, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (199, 134, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (669, 284, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (575, 217, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (99, 225, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (636, 481, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (639, 428, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (300, 47, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (607, 34, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (159, 297, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (574, 465, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (227, 471, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (151, 95, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (180, 330, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (350, 222, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (3, 474, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (616, 102, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (487, 67, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (693, 382, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (722, 405, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (71, 175, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (734, 128, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (152, 47, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (471, 171, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (583, 219, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (15, 84, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (463, 459, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (247, 55, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (10, 146, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (692, 63, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (166, 300, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (50, 319, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (662, 215, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (273, 384, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (16, 148, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (759, 431, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (607, 270, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (85, 111, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (52, 190, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (477, 77, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (603, 463, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (423, 336, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (240, 428, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (399, 297, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (548, 443, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (530, 306, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (451, 428, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (224, 250, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (131, 361, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (134, 391, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (517, 157, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (710, 26, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (249, 502, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (787, 56, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (704, 76, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (287, 226, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (26, 403, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (114, 171, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (574, 379, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (261, 338, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (293, 425, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (745, 443, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (14, 186, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (695, 234, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (300, 123, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (384, 153, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (782, 153, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (597, 413, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (100, 166, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (674, 460, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (248, 384, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (740, 336, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (610, 191, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (562, 248, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (369, 309, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (414, 280, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (162, 395, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (124, 192, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (285, 289, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (488, 277, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (324, 207, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (514, 394, 'победитель', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (524, 396, 'призер регионального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (516, 188, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (438, 64, 'призер заключительного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (747, 410, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (633, 295, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (430, 125, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (284, 51, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (449, 265, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (755, 21, 'призер школьного этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (290, 206, 'призер муниципального этапа', 'бви');
insert into олимпиада_вуза (ид_олимпиады, ид_вуза, статус_уч_олимпиады, льгота) values (250, 143, 'победитель', 'бви');
